artist_name,genre,country,followers,monthly_listeners,verified,join_date
Artist_00001,Rock,US,2307213,513625,false,2021-12-04
Artist_00002,Rock,IN,3539436,66703,true,2020-04-08
Artist_00003,Jazz,NG,3519287,462347,False,2024-05-26
Artist_00004,Hip-Hop,FR,2854328,582788,false,2021-06-04
Artist_00005,Electronic,IN,2219061,1692720,true,2023-09-04
Artist_00006,Classical,IN,3033714,1210845,false,2020-01-22
Artist_00007,Rock,JP,847361,797232,TRUE,2023-11-27
Artist_00008,Jazz,BR,599067,1277490,"",2021-09-24
Artist_00009,Classical,NG,1842365,1435790,TRUE,2020-04-27
Artist_00010,Classical,UK,1769952,1915035,yes,2022-04-21
Artist_00011,Country,DE,2222075,292876,false,2024-09-09
Artist_00012,R&B,KR,1839895,290152,yes,2023-02-25
Artist_00013,Hip-Hop,FR,533009,806965,False,2024-08-17
Artist_00014,Pop,UK,4504533,1574754,TRUE,2022-02-10
Artist_00015,Classical,NG,1498740,1064735,true,2022-11-17
Artist_00016,Hip-Hop,NG,NULL,1926270,true,2024-06-16
Artist_00017,Classical,JP,486011,505194,yes,2020-02-24
Artist_00018,Hip-Hop,DE,3987057,1985735,yes,2021-05-17
Artist_00019,Jazz,NG,1687477,1495212,TRUE,2023-11-21
Artist_00020,Country,UK,2079683,471274,true,2022-01-19
Artist_00021,Pop,UK,493968,480175,true,2020-06-03
Artist_00022,Country,JP,4523522,277528,"",2024-10-16
Artist_00023,R&B,JP,791362,203328,"",2023-06-14
Artist_00024,Pop,UK,508555,844408,"",2022-02-08
Artist_00025,Hip-Hop,FR,1539309,584201,False,2021-02-15
Artist_00026,Rock,US,4534880,1753326,true,2020-04-06
Artist_00027,R&B,US,1381176,794814,true,2023-05-26
Artist_00028,Country,DE,1593078,622291,false,2020-10-24
Artist_00029,Pop,US,4900536,999947,yes,2024-03-02
Artist_00030,Hip-Hop,UK,4991616,142574,"",2021-07-04
Artist_00031,Pop,IN,687826,879228,"",2024-10-17
Artist_00032,Electronic,JP,2228236,830073,false,2022-08-11
Artist_00033,Pop,AU,4722832,209725,true,2024-04-17
Artist_00034,Rock,JP,3099917,597711,false,2023-09-23
Artist_00035,Pop,NG,2511470,1954084,"",2020-03-09
Artist_00036,Hip-Hop,BR,2363642,1268470,false,2022-04-22
Artist_00037,Country,BR,NULL,193613,"",2023-05-02
Artist_00038,Classical,DE,3706484,1157007,"",2023-09-01
Artist_00039,Hip-Hop,NG,302325,1750322,TRUE,2024-09-05
Artist_00040,Electronic,US,3001621,440612,"",2021-11-04
Artist_00041,R&B,IN,1296587,1941517,false,2021-03-14
Artist_00042,Electronic,FR,2081877,559582,false,2020-07-28
Artist_00043,Jazz,AU,2933247,640081,false,2021-01-22
Artist_00044,Rock,BR,2945727,1345334,yes,2023-11-27
Artist_00045,Rock,BR,1498035,1217634,TRUE,2020-02-20
Artist_00046,Electronic,FR,4290227,242576,False,2024-04-09
Artist_00047,Jazz,KR,3618084,146795,"",2022-10-11
Artist_00048,Classical,NG,2594567,1398625,False,2022-07-23
Artist_00049,R&B,FR,1459947,1290878,yes,2022-07-18
Artist_00050,Jazz,FR,4865364,1272311,"",2022-08-15
Artist_00051,Country,DE,711416,595193,yes,2024-06-03
Artist_00052,Classical,JP,1670522,309073,true,2020-04-16
Artist_00053,Country,FR,4829177,407810,"",2023-08-13
Artist_00054,Pop,UK,3566484,458993,false,2024-08-02
Artist_00055,Rock,AU,1118629,1680742,False,2024-09-20
Artist_00056,Country,IN,4234486,894990,yes,2023-03-24
Artist_00057,Jazz,BR,4373079,1016323,"",2021-05-15
Artist_00058,Classical,KR,2682018,1872863,yes,2020-03-05
Artist_00059,Jazz,UK,3480264,854847,TRUE,2024-08-14
Artist_00060,R&B,IN,163945,1796747,yes,2023-08-01
Artist_00061,R&B,FR,4515021,1567703,"",2024-10-08
Artist_00062,Country,US,3262070,704964,"",2023-12-06
Artist_00063,Pop,FR,4965256,1183665,"",2020-02-21
Artist_00064,Hip-Hop,US,2182449,795088,TRUE,2021-08-11
Artist_00065,Classical,FR,2116306,1750985,true,2023-01-24
Artist_00066,Electronic,JP,575712,1638414,"",2020-01-08
Artist_00067,Hip-Hop,JP,1058918,993179,"",2020-10-07
Artist_00068,Electronic,DE,960871,1631197,false,2022-02-19
Artist_00069,R&B,FR,1663810,159426,yes,2021-02-23
Artist_00070,Rock,IN,344612,728189,yes,2023-11-12
Artist_00071,Pop,FR,4112209,221381,False,2022-11-27
Artist_00072,Hip-Hop,NG,2265715,1291711,yes,2023-08-14
Artist_00073,Electronic,JP,727081,585004,False,2021-08-19
Artist_00074,Pop,AU,2726516,381395,False,2021-06-26
Artist_00075,Classical,NG,85253,1083495,false,2020-04-24
Artist_00076,Jazz,AU,4117407,939940,true,2020-05-08
Artist_00077,Electronic,AU,4642967,1113473,TRUE,2023-12-18
Artist_00078,Classical,BR,2109026,483523,true,2021-06-04
Artist_00079,Hip-Hop,JP,1815265,1549016,False,2022-12-19
Artist_00080,Classical,UK,NULL,621323,false,2022-03-10
Artist_00081,Classical,US,457497,1160527,TRUE,2021-11-28
Artist_00082,Pop,IN,2385311,984446,False,2023-06-06
Artist_00083,Country,UK,548240,840394,False,2020-10-21
Artist_00084,Classical,UK,2082076,248460,yes,2023-10-20
Artist_00085,R&B,AU,3713912,623644,yes,2023-05-19
Artist_00086,Rock,JP,1770307,555053,"",2020-03-08
Artist_00087,Pop,FR,3779198,1445766,yes,2023-05-02
Artist_00088,Country,UK,1958200,1937631,TRUE,2024-11-26
Artist_00089,Jazz,DE,2228386,1733621,false,2020-01-06
Artist_00090,Classical,AU,1043254,982980,"",2022-12-13
Artist_00091,Country,AU,674895,1254223,true,2023-12-11
Artist_00092,Jazz,IN,4925244,1993993,true,2022-10-02
Artist_00093,Country,BR,1522541,1227575,False,2023-02-16
Artist_00094,Rock,DE,2766693,863332,"",2023-05-22
Artist_00095,Pop,AU,738799,659640,TRUE,2022-02-25
Artist_00096,Pop,NG,3875438,866692,true,2021-09-12
Artist_00097,Country,US,1707670,560107,yes,2021-05-15
Artist_00098,Pop,IN,2007472,1488572,false,2022-09-01
Artist_00099,Rock,AU,985477,1358395,false,2023-12-10
Artist_00100,Country,AU,2044663,958000,yes,2021-07-07
Artist_00101,Hip-Hop,UK,2317431,1620467,False,2022-09-09
Artist_00102,Classical,IN,4864849,1384046,False,2021-08-18
Artist_00103,R&B,AU,2699364,1823736,false,2021-10-13
Artist_00104,Pop,KR,3967712,1479020,False,2023-11-26
Artist_00105,Country,US,1059130,1053430,yes,2022-02-28
Artist_00106,Country,US,1209363,859837,"",2021-02-16
Artist_00107,R&B,UK,2756307,1787539,"",2024-07-11
Artist_00108,Country,NG,301243,1294956,true,2021-11-22
Artist_00109,Rock,FR,825900,1594660,"",2020-08-06
Artist_00110,Pop,KR,470862,615286,TRUE,2022-07-05
Artist_00111,Hip-Hop,DE,1468688,165658,yes,2023-10-22
Artist_00112,Hip-Hop,JP,NULL,1337832,TRUE,2023-05-22
Artist_00113,Classical,NG,1325295,154949,False,2022-10-10
Artist_00114,Classical,AU,2534480,417838,False,2023-02-08
Artist_00115,Classical,BR,184142,1740764,"",2023-05-01
Artist_00116,Pop,IN,4166950,1746639,TRUE,2021-10-26
Artist_00117,Classical,DE,815170,1894624,"",2020-05-26
Artist_00118,Hip-Hop,UK,2475665,685229,"",2023-03-07
Artist_00119,Electronic,NG,4209459,1915771,TRUE,2021-05-27
Artist_00120,Classical,KR,966213,982212,true,2021-04-28
Artist_00121,R&B,NG,3068443,189428,False,2020-05-18
Artist_00122,Classical,IN,3196373,1724784,"",2022-02-22
Artist_00123,Electronic,IN,1857062,1358275,true,2023-12-10
Artist_00124,Pop,US,2553295,1033158,true,2020-04-18
Artist_00125,R&B,IN,1296332,1856897,False,2020-08-20
Artist_00126,Pop,KR,1822690,929891,False,2021-06-04
Artist_00127,Electronic,US,3339937,578615,false,2020-08-03
Artist_00128,Pop,US,2797777,510850,false,2024-04-03
Artist_00129,Jazz,JP,2756257,1624018,false,2024-01-09
Artist_00130,Hip-Hop,NG,2102739,1674654,false,2020-11-28
Artist_00131,Jazz,IN,2716091,33145,false,2022-01-05
Artist_00132,Rock,AU,3760505,1631669,TRUE,2024-10-04
Artist_00133,Pop,NG,2530358,960634,"",2020-01-16
Artist_00134,Rock,AU,3720970,154171,true,2022-10-05
Artist_00135,Electronic,FR,4450733,618495,False,2024-10-14
Artist_00136,Jazz,FR,3788017,1862511,false,2023-06-27
Artist_00137,Rock,KR,3580055,655459,"",2022-06-05
Artist_00138,Rock,UK,782170,905760,true,2022-03-18
Artist_00139,Electronic,UK,3446212,741598,"",2023-12-02
Artist_00140,Electronic,UK,4848031,1064171,false,2021-11-16
Artist_00141,Electronic,UK,2336899,1204024,false,2023-09-25
Artist_00142,Pop,IN,2243614,60769,false,2022-12-25
Artist_00143,Pop,DE,1201780,1187711,"",2023-02-05
Artist_00144,Rock,NG,1804765,788986,False,2023-06-06
Artist_00145,Rock,US,1305198,330162,yes,2020-11-03
Artist_00146,Country,IN,3708235,868656,TRUE,2021-09-04
Artist_00147,Country,NG,NULL,95297,false,2023-10-02
Artist_00148,Jazz,DE,2143552,607064,TRUE,2020-01-16
Artist_00149,R&B,NG,1930408,1049176,yes,2022-02-13
Artist_00150,Pop,AU,653258,1808025,TRUE,2024-07-19
Artist_00151,Classical,UK,3397757,43789,TRUE,2021-10-15
Artist_00152,Rock,FR,888144,510321,False,2024-07-17
